index,feature_name,score
1,feature_2487,0.04688939507903189
2,feature_2870,0.044744846721175735
3,feature_3748,0.04364996738943616
4,feature_2418,0.04260917276609577
5,feature_25,0.042115918962994936
6,feature_2454,0.04120050415531051
7,feature_3217,0.040625916001933104
8,feature_597,0.03997395621101574
9,feature_569,0.039344346313124445
10,feature_3901,0.03832447223501312
11,feature_2799,0.03822258696020708
12,feature_1211,0.03791194326944125
13,feature_3560,0.037891874383895185
14,feature_2018,0.03629085099515983
15,feature_3690,0.03615220062881552
16,feature_328,0.03552724920905792
17,feature_1676,0.035293980179133655
18,feature_2344,0.035021469484232126
19,feature_2907,0.03501452622383794
20,feature_1132,0.03474882979962324
21,feature_984,0.03470864317641276
22,feature_1907,0.03468635555641697
23,feature_3093,0.034660968023659144
24,feature_1184,0.034610403041083204
25,feature_1981,0.03449287857739147
26,feature_1985,0.03446270801880735
27,feature_3680,0.03436369476998058
28,feature_1652,0.03420151403528604
29,feature_2352,0.03412045699578248
30,feature_37,0.034021956915406104
31,feature_219,0.033954266649623976
32,feature_3463,0.03394807849081194
33,feature_176,0.03375045819378042
34,feature_1842,0.03368533083958103
35,feature_3488,0.033217697331146434
36,feature_1310,0.033133713614652116
37,feature_2530,0.032891751864437824
38,feature_2534,0.03255671586642683
39,feature_3182,0.032483099547927496
40,feature_1193,0.032271365908829175
41,feature_3965,0.03216916212148213
42,feature_3564,0.03209884614115177
43,feature_726,0.03201801743358468
44,feature_1190,0.03199236879562606
45,feature_1650,0.03185108304419937
46,feature_3930,0.031764399430843415
47,feature_2401,0.031106980394547845
48,feature_3973,0.031097695449375795
49,feature_2606,0.030996132291661205
50,feature_2386,0.030988551467788783
51,feature_2988,0.03082158022126613
52,feature_3917,0.030756947029438875
53,feature_1198,0.030756145193127304
54,feature_3388,0.0306160938861626
55,feature_3249,0.03050777587343534
56,feature_63,0.03050148632804417
57,feature_2210,0.030428116607962963
58,feature_1491,0.030333349697279965
59,feature_2617,0.030291247309994773
60,feature_2399,0.03029007368861758
61,feature_118,0.03025216119036278
62,feature_1441,0.030235233702901487
63,feature_1912,0.0302180173964004
64,feature_879,0.029877008095753776
65,feature_940,0.029876311878292316
66,feature_4005,0.029603941704736014
67,feature_3414,0.029554390092694227
68,feature_150,0.029517554196906826
69,feature_3957,0.029193961109807764
70,feature_1688,0.0290899412405623
71,feature_3094,0.029088524015770778
72,feature_1487,0.02886728955296003
73,feature_1717,0.028688142821207352
74,feature_3264,0.028654540966630337
75,feature_2419,0.028427863027638223
76,feature_348,0.028327362387135402
77,feature_1597,0.028123425909122535
78,feature_836,0.02799410724837692
79,feature_2892,0.027814492119403678
80,feature_2439,0.027806194821342833
81,feature_985,0.02778476703847721
82,feature_2789,0.027733543010608264
83,feature_1706,0.027663072318449
84,feature_2670,0.027657666356268207
85,feature_1779,0.027531084752945523
86,feature_3935,0.02751978621271034
87,feature_574,0.027510957407997916
88,feature_3242,0.027304478000313992
89,feature_1260,0.027286757355248437
90,feature_3533,0.02718493411232603
91,feature_2628,0.027174268387768707
92,feature_3021,0.027148156210095697
93,feature_3,0.02713972692839528
94,feature_1095,0.026978117603091656
95,feature_2095,0.02693236836044899
96,feature_2279,0.026848695800286704
97,feature_1085,0.026832955817048143
98,feature_713,0.02681872258579565
99,feature_830,0.02663864935456428
100,feature_1550,0.0266137082583493
101,feature_1367,0.02659959275922419
102,feature_889,0.026577643726412692
103,feature_2021,0.026309249927652045
104,feature_369,0.026270269506278643
105,feature_2300,0.026140438291241574
106,feature_1435,0.02613319870907649
107,feature_768,0.026007868940052026
108,feature_3969,0.025889545003149772
109,feature_3309,0.02585165046609994
110,feature_923,0.025851167615924542
111,feature_175,0.025840085069253727
112,feature_1571,0.025819232642897205
113,feature_724,0.025757760741217384
114,feature_3951,0.025740735056278607
115,feature_886,0.02544659340276123
116,feature_503,0.025388143021182863
117,feature_745,0.02527373628568741
118,feature_2001,0.025249572327664893
119,feature_2662,0.025233350844980018
120,feature_1675,0.02520730466521659
121,feature_2458,0.025173103472539315
122,feature_1495,0.025128013159394724
123,feature_147,0.025123583422102858
124,feature_3121,0.025107423790148964
125,feature_3673,0.025021799728313754
126,feature_1737,0.025021572769833966
127,feature_2318,0.02501123375127845
128,feature_2796,0.024990047445832442
129,feature_93,0.024976747455543125
130,feature_1185,0.02479146449465941
131,feature_3547,0.02470360599521193
132,feature_1350,0.024665707471543064
133,feature_3116,0.024625532534399364
134,feature_1236,0.02462054907623945
135,feature_2144,0.024459089635498366
136,feature_2888,0.02442043223245527
137,feature_518,0.024235986298551504
138,feature_869,0.024179807640929418
139,feature_864,0.02417143006087663
140,feature_980,0.024141147631186133
141,feature_1926,0.024115921501997928
142,feature_1257,0.02408503724542088
143,feature_1173,0.024077641671691907
144,feature_1138,0.02405390908535532
145,feature_2615,0.02399884720333545
146,feature_2946,0.02394868999481292
147,feature_582,0.023843860365654113
148,feature_1025,0.023732522354453778
149,feature_2806,0.023703940874417517
150,feature_4075,0.023674085547814805
151,feature_2417,0.023601474750987395
152,feature_3077,0.023537724874029164
153,feature_3603,0.023519383161795693
154,feature_957,0.02351290987708654
155,feature_1810,0.0234744146549124
156,feature_3725,0.02345680935969008
157,feature_692,0.023449452050853248
158,feature_2520,0.023393060480510375
159,feature_3823,0.02326694272519103
160,feature_2513,0.0232042064057425
161,feature_2875,0.02313935242408438
162,feature_1702,0.023138218095268615
163,feature_94,0.023102585251094432
164,feature_655,0.02303995484015231
165,feature_3835,0.023000288637235355
166,feature_2038,0.02298303538901547
