index,feature_name,score
1,feature_2966,0.07135629450088099
2,feature_3398,0.05707827918691177
3,feature_501,0.05322584524526697
4,feature_3489,0.051360126145251206
5,feature_3088,0.05031013339698154
6,feature_2651,0.04760540478026698
7,feature_3579,0.04571369423524074
8,feature_471,0.045270467949074744
9,feature_81,0.04439366987512883
10,feature_2789,0.04223475304383428
11,feature_3267,0.04193731808874146
12,feature_776,0.04158410240420296
13,feature_3942,0.041431176402357606
14,feature_850,0.04062278923573204
15,feature_2243,0.040481549384048465
16,feature_1954,0.04040664298543506
17,feature_4037,0.04025153695490613
18,feature_3055,0.03982504848141377
19,feature_133,0.03971672114923708
20,feature_3732,0.03951335012909163
21,feature_332,0.03918329431472256
22,feature_1917,0.03886419921502782
23,feature_1460,0.03880957292200038
24,feature_3751,0.03874270231904475
25,feature_517,0.03834734684208785
26,feature_1667,0.038324287139545055
27,feature_2432,0.03775433134946704
28,feature_125,0.03751189905927066
29,feature_147,0.037488429388929045
30,feature_3153,0.03734761178317347
31,feature_2661,0.03715933577262365
32,feature_3790,0.03711770889619559
33,feature_1224,0.03699886230078575
34,feature_3020,0.036926489678566154
35,feature_3621,0.03683235742795543
36,feature_175,0.03677734703040758
37,feature_2126,0.0364455195536737
38,feature_2504,0.03630350005671823
39,feature_421,0.03626126968479371
40,feature_1895,0.0362292501509367
41,feature_3465,0.03604738817236863
42,feature_356,0.03594665292934196
43,feature_3455,0.035915228761828955
44,feature_3126,0.03573128770185363
45,feature_1981,0.03544716788831437
46,feature_560,0.035388304963489325
47,feature_1099,0.035330776420744
48,feature_44,0.035111274292627837
49,feature_2043,0.034899104998649344
50,feature_3349,0.034858813212162776
51,feature_1811,0.03476468215348083
52,feature_1112,0.03456926882153755
53,feature_1255,0.0345643696104021
54,feature_3669,0.03431448294371342
55,feature_159,0.03416415982633003
56,feature_2973,0.03396328119708114
57,feature_1319,0.033953152512150586
58,feature_610,0.033952624637851425
59,feature_960,0.033870541525666376
60,feature_2457,0.0333581794183071
61,feature_1820,0.033318608475645384
62,feature_1788,0.03323899454601853
63,feature_3317,0.033235193049129697
64,feature_1028,0.0332276989384086
65,feature_1710,0.033208683051827004
66,feature_733,0.032784201860235784
67,feature_538,0.03233915524665898
68,feature_3752,0.03233052792021218
69,feature_3808,0.03232299475168765
70,feature_3158,0.03227651275400567
71,feature_2377,0.032212623072738866
72,feature_1256,0.032156034441249925
73,feature_2582,0.03197187228292986
74,feature_3920,0.031959819098221987
75,feature_1298,0.03184484491084327
76,feature_2522,0.03182433250520744
77,feature_3540,0.03179343344910768
78,feature_2784,0.03178908072022946
79,feature_1786,0.03172564800058564
80,feature_3843,0.03163531862875435
81,feature_3447,0.03141563630017097
82,feature_883,0.03128963593600376
83,feature_702,0.031260320296165656
84,feature_2608,0.031236800459490954
85,feature_1482,0.031159827285522468
86,feature_793,0.031051335338915464
87,feature_2691,0.030876356102686353
88,feature_743,0.030557465403118655
89,feature_350,0.030432602575910073
90,feature_1537,0.03035285334914062
91,feature_3032,0.030251823077696027
92,feature_2609,0.030191319025448582
93,feature_2755,0.030119037565155438
94,feature_3222,0.03004751128439942
95,feature_1778,0.02999142791874232
96,feature_1327,0.02993312255263958
97,feature_696,0.02975999759528558
98,feature_2420,0.029712348747896522
99,feature_3037,0.02968767831540342
100,feature_1692,0.029685014375087526
101,feature_1619,0.029684534595171952
102,feature_3165,0.029613965509065254
103,feature_3854,0.02959980655094152
104,feature_2999,0.02959293956515996
105,feature_2164,0.02952983678306409
106,feature_1048,0.02951076993207069
107,feature_3656,0.029345212627300166
108,feature_3674,0.029329024760213596
109,feature_1593,0.02924616165573335
110,feature_2141,0.029190570880127442
111,feature_2807,0.029178207464219508
112,feature_1800,0.02904285182866273
113,feature_1939,0.02898958401080365
114,feature_3823,0.02894357869077213
115,feature_3675,0.02893428975097634
116,feature_4017,0.02891944670970159
117,feature_2163,0.028894407796712596
118,feature_2,0.028887241151435372
119,feature_3514,0.028865761483171326
120,feature_3116,0.0288435715462525
121,feature_2684,0.02882356085773541
122,feature_2222,0.028796051263739075
123,feature_3936,0.028722448383721844
124,feature_3578,0.028665497127263073
125,feature_1355,0.028613623344621475
126,feature_567,0.028613108454988545
127,feature_2125,0.028461496182581092
128,feature_1394,0.028459271882904646
129,feature_795,0.02832234893173724
130,feature_3776,0.028314418611483205
131,feature_1019,0.028299345104719098
132,feature_430,0.028290317333370618
133,feature_3408,0.028003197232159716
134,feature_3009,0.02799838187351056
135,feature_589,0.027971111293083162
136,feature_3484,0.02787934226410771
137,feature_653,0.027808440621601038
138,feature_3321,0.027782143769611745
139,feature_1254,0.027712879203492635
140,feature_2982,0.027686675125883964
141,feature_2212,0.027666682491807038
142,feature_1271,0.027602879542196757
143,feature_2765,0.027563573531269814
144,feature_3390,0.02755420947812448
145,feature_458,0.02753696002822048
146,feature_1901,0.027506727389503105
147,feature_3870,0.027482961599807787
148,feature_906,0.027390084175559215
149,feature_2419,0.027381161722007663
150,feature_3817,0.027364385904095068
151,feature_3746,0.027336158892784734
152,feature_3979,0.02732082339621833
153,feature_2602,0.027277010217391373
154,feature_2041,0.02721702268873205
155,feature_3887,0.027193457341229577
156,feature_335,0.02717740137638658
157,feature_2716,0.027170826215117794
158,feature_338,0.02709566118147455
159,feature_2048,0.027028978560629913
160,feature_742,0.027022056782999737
161,feature_2079,0.0269861846812105
162,feature_660,0.026963503407102962
163,feature_3506,0.02676403813185413
164,feature_39,0.026730269930456574
165,feature_3377,0.026707357841835977
166,feature_1674,0.026676995683581506
