index,feature_name,score
1,rango_edad,0.09503030960306913
2,edad,0.08271176673891967
3,feature_1232,0.05583676708709473
4,feature_623,0.05420393214301278
5,feature_2413,0.05399092792075355
6,feature_242,0.04828376850752947
7,feature_1141,0.04756171856054392
8,feature_3475,0.04608958419493647
9,feature_283,0.043451943772353285
10,feature_842,0.041617647450543416
11,feature_560,0.04149032150991405
12,feature_1179,0.04112639412610708
13,feature_3579,0.03965953329387473
14,feature_136,0.039445609013857075
15,feature_1239,0.03877905210630761
16,feature_4052,0.03874031266258782
17,creatinina,0.03841500909373141
18,feature_1381,0.03819749819392637
19,feature_711,0.03819675982302995
20,feature_363,0.03816314894508732
21,feature_2758,0.03802338581370557
22,feature_3876,0.03783029043537489
23,feature_2086,0.037685855502264554
24,feature_3511,0.03762077134309405
25,feature_513,0.037613102945993626
26,feature_2360,0.037317694900118825
27,feature_951,0.03728597161126057
28,feature_2213,0.03697323365058969
29,feature_2484,0.03684243277800037
30,feature_1999,0.036717345335187446
31,feature_3818,0.03661178433533463
32,feature_1899,0.03645966243857868
33,feature_547,0.03640406927062667
34,feature_1862,0.03626454039500637
35,feature_311,0.03600400323417552
36,feature_3537,0.03579538278195726
37,feature_3606,0.03578969411603561
38,feature_3078,0.03527670828450691
39,feature_463,0.03515974813151401
40,feature_1820,0.035145091957466956
41,feature_2946,0.0350233273010796
42,filtrado_glomerular_estimado,0.03481690681350935
43,feature_2174,0.03469038238255617
44,feature_3632,0.0341106094072936
45,feature_3669,0.03398874645718797
46,feature_2874,0.033869530787525415
47,feature_1075,0.033787362033824486
48,feature_2262,0.033753151234335865
49,feature_821,0.0335376157230578
50,feature_82,0.03314475056091859
51,feature_2458,0.03303595600226972
52,feature_1931,0.032854447315672886
53,feature_742,0.032810392858530824
54,feature_1504,0.0325927388791416
55,feature_298,0.03258513186275591
56,feature_1443,0.03254710448965237
57,feature_2144,0.03244432352049387
58,feature_3770,0.03238233037168503
59,feature_1944,0.032100046896393675
60,feature_3825,0.03209972443629372
61,feature_1814,0.032096592364972976
62,feature_1683,0.03208362113358332
63,feature_2447,0.031956207259718816
64,feature_776,0.03183774027318487
65,feature_2149,0.03141397602673912
66,feature_432,0.03136917837298969
67,feature_777,0.031277516970722896
68,feature_3303,0.031016439513523286
69,feature_344,0.03092101060050334
70,feature_2230,0.030920064837688166
71,feature_750,0.030909973320907724
72,feature_3704,0.030738651452469012
73,feature_699,0.03073086552452753
74,feature_2270,0.030707611135339263
75,feature_1434,0.030623356369230637
76,feature_774,0.03059577737080632
77,feature_890,0.030571988850804033
78,feature_95,0.030429656669263005
79,feature_1298,0.030316996586306377
80,feature_2595,0.030279957427455928
81,feature_3323,0.02989626022561409
82,feature_2330,0.029745332491979193
83,feature_3444,0.029623588271040724
84,feature_4068,0.029485783597827497
85,feature_3935,0.029444441354734563
86,feature_3520,0.029322590313574093
87,feature_71,0.029275065288197233
88,feature_3112,0.029262413314421254
89,feature_864,0.02919009557613328
90,feature_3820,0.02902385993286427
91,feature_2025,0.0288325185056848
92,feature_3207,0.02874171334919029
93,feature_1552,0.028666984520682615
94,feature_2295,0.02866636357893082
95,feature_3447,0.028662831540233524
96,feature_120,0.028532319146897134
97,feature_949,0.028174365392096723
98,feature_2896,0.028168959877562516
99,feature_2089,0.02813849847742267
100,feature_1710,0.027998549160220598
101,feature_2293,0.02791452481059853
102,feature_1296,0.027874584632361143
103,feature_4016,0.02778687968128435
104,feature_841,0.027779916631988977
105,feature_418,0.027768101659077615
106,feature_4064,0.027729592287518257
107,feature_1838,0.02771607837518486
108,feature_1698,0.027710346949765263
109,feature_503,0.027676649870391756
110,feature_369,0.027667281114510223
111,feature_576,0.027626886333328438
112,feature_457,0.027626392333240046
113,feature_1600,0.027485440898629143
114,feature_2442,0.02746870118656375
115,feature_3543,0.02743693470672537
116,feature_107,0.027302449163785214
117,feature_303,0.027301319569707827
118,feature_110,0.027230414544644255
119,feature_2456,0.027089198299695916
120,feature_3356,0.027051057102007503
121,feature_3714,0.026982837246721347
122,feature_2257,0.02695971991780377
123,feature_2928,0.026789135504689643
124,feature_3130,0.026780151932950247
125,feature_2310,0.026749952804336896
126,feature_109,0.02673877554177162
127,feature_316,0.026733557721841494
128,feature_1384,0.026716356921195006
129,feature_1112,0.026627967005906417
130,feature_3955,0.026622385247108804
131,feature_1084,0.02661578667320197
132,feature_3856,0.026602465625036098
133,feature_1174,0.026584350820981095
134,feature_3467,0.02657763845009864
135,feature_811,0.02651972593393337
136,feature_116,0.026503274907842655
137,feature_3866,0.026474466226430904
138,feature_410,0.026350289338684663
139,feature_1406,0.026314575432727194
140,feature_839,0.02620224916483438
141,feature_3221,0.026196938362363253
142,imc,0.026110946058055085
143,feature_403,0.026055909280096046
144,feature_3842,0.025995301474340593
145,feature_2665,0.025934900738370015
146,feature_2100,0.02588490303762825
147,feature_3648,0.02583974597478056
148,feature_1133,0.02582833168260712
149,feature_1717,0.025758292446583786
150,feature_3611,0.02567695910340473
151,feature_4025,0.025513627532673278
152,feature_1834,0.02550941293238229
153,feature_3194,0.025472986007258003
154,feature_1105,0.025429167589305912
155,feature_3021,0.025427045007840876
156,feature_3363,0.0253273818927513
157,feature_3752,0.025288445745225152
158,feature_994,0.025287117206763687
159,feature_2578,0.025194761538104293
160,feature_3558,0.025164850386115045
161,feature_1523,0.025087734704877462
162,feature_2333,0.025027468868493052
163,feature_3119,0.02500850945854083
164,feature_3631,0.024996672657328523
165,feature_1245,0.024903602481528564
166,feature_1183,0.024855134033174187
