index,feature_name,score
1,edad,0.0927318203667391
2,rango_edad,0.08919949613960831
3,feature_3947,0.048169637796892095
4,creatinina,0.04759607789919862
5,feature_2454,0.04750847425935523
6,feature_2331,0.046453685360556385
7,feature_988,0.044655402401019284
8,feature_1985,0.043661128487713974
9,feature_3889,0.043370868857790956
10,feature_3414,0.042336643742715285
11,feature_2801,0.038931752946449016
12,feature_3379,0.038897840322342114
13,feature_3106,0.038430776902416364
14,feature_2001,0.03779136946079231
15,feature_2638,0.037361859064328096
16,feature_726,0.03716558406331294
17,feature_2608,0.03713210235598852
18,feature_1250,0.03708851934731827
19,feature_1706,0.03583626012316676
20,feature_873,0.03570014417970668
21,feature_741,0.035526942298758524
22,feature_4085,0.03513623386818865
23,feature_4072,0.03493509030857611
24,feature_91,0.03479876283099381
25,feature_3223,0.03466777404649246
26,feature_2089,0.034649737292513194
27,feature_328,0.034211794782387006
28,feature_984,0.03420871708045392
29,feature_3603,0.03420483057172996
30,feature_448,0.033958275355698175
31,feature_219,0.033540661046109754
32,feature_533,0.0332514856906021
33,feature_3526,0.03276538906227966
34,feature_3264,0.03242446378817343
35,feature_1907,0.03224982458218073
36,feature_1645,0.03207520839700395
37,feature_3424,0.03206700581420119
38,feature_1592,0.03198548874903229
39,feature_3750,0.03175406208826814
40,feature_3040,0.03164993699434482
41,feature_3741,0.031274681696161766
42,feature_659,0.03102866653296843
43,feature_1737,0.03098154315577717
44,feature_1981,0.03087454288468794
45,feature_3378,0.030738040776791653
46,feature_745,0.03046471021376984
47,feature_2558,0.030384427423638893
48,feature_724,0.030239900245070617
49,feature_414,0.030227668821840137
50,feature_3006,0.030183782416868477
51,feature_449,0.030160178866511567
52,feature_1469,0.030129806991123775
53,feature_2329,0.030067976314291034
54,feature_220,0.029795089371952743
55,feature_2375,0.02978590231407474
56,feature_715,0.029726928333056568
57,feature_2799,0.029617492333042783
58,feature_739,0.02954946007860415
59,feature_2232,0.029475668996974846
60,feature_2870,0.029439733006246138
61,feature_1866,0.02935850874072088
62,feature_3654,0.029183413989519735
63,feature_2617,0.02916623820609132
64,feature_2843,0.029115984842555287
65,feature_1042,0.028876881894692952
66,feature_208,0.028794483575141694
67,feature_3668,0.028772806156392328
68,feature_3322,0.028571215872315703
69,feature_2988,0.028569022074850903
70,feature_1847,0.02852256404723863
71,feature_1140,0.028463763941258158
72,feature_3231,0.028282636540314376
73,feature_4092,0.02819626303681355
74,feature_1139,0.028120527088272285
75,feature_3393,0.028084799839591
76,feature_894,0.027991663727862104
77,feature_3073,0.027968163891438635
78,feature_2178,0.027923073857574865
79,feature_60,0.027863754962350384
80,feature_15,0.027697134837050053
81,feature_2368,0.027563456294033895
82,feature_1955,0.02755281377268637
83,feature_764,0.027500920715350485
84,feature_368,0.027414071551324914
85,feature_2225,0.027380609288324642
86,feature_3946,0.027086554554665465
87,feature_3504,0.02704861703879735
88,feature_3861,0.02702264664148335
89,feature_1644,0.026948186736993396
90,feature_50,0.02693537832924431
91,feature_3165,0.026850826310717668
92,feature_2996,0.026807502541084327
93,feature_3564,0.026668123387830978
94,feature_768,0.02665512547690807
95,feature_3629,0.026654470239938943
96,feature_209,0.026650146404843644
97,feature_1102,0.02664936417749053
98,feature_2602,0.026423711778435166
99,feature_2519,0.02641451661222427
100,feature_1982,0.026341538302012468
101,feature_2032,0.02627591651862482
102,feature_1596,0.02621668296391677
103,linfocitos_porcentaje,0.0261847462521545
104,feature_2927,0.026165606029823874
105,feature_3764,0.026090380014632597
106,feature_3093,0.026062226351451168
107,feature_1712,0.025991705773459328
108,feature_4005,0.025919142756053448
109,feature_2918,0.025802487920628225
110,feature_569,0.02580227020965653
111,feature_1123,0.02558374626249149
112,feature_2955,0.025557584725663718
113,feature_1890,0.025535041665700975
114,feature_846,0.02552113913762577
115,feature_1188,0.025510208871485585
116,feature_822,0.025509349951682747
117,feature_589,0.025492212354603305
118,feature_789,0.025390772215850843
119,feature_1568,0.025292862447021225
120,feature_63,0.025201000967566944
121,feature_632,0.02515646181564235
122,feature_2065,0.025130898345715025
123,feature_4066,0.025106704007495928
124,feature_821,0.02510520019816931
125,feature_3050,0.025049886965029744
126,feature_2403,0.024930094797676272
127,feature_913,0.024817540690898143
128,feature_2967,0.02472365451414471
129,feature_2513,0.0247226029149481
130,feature_3454,0.024713602680535462
131,feature_817,0.024653801225247518
132,feature_3547,0.02457283334124738
133,feature_1210,0.024550264050900772
134,feature_736,0.024509409421375583
135,feature_46,0.024388279958770465
136,feature_45,0.024262907737141015
137,feature_3725,0.024251181619904694
138,feature_3245,0.024106808716047423
139,feature_614,0.024079437771704626
140,feature_3168,0.024076376438332714
141,feature_1756,0.02406358355530358
142,feature_3209,0.023988079408891805
143,feature_16,0.023944668601821206
144,feature_1579,0.02392517188001042
145,feature_3256,0.023898499780868443
146,feature_2141,0.023838204699216714
147,feature_246,0.023827232388583752
148,feature_3295,0.023788786520145155
149,feature_112,0.02377517172592647
150,feature_1432,0.02374405993628459
151,feature_3779,0.02370831767104864
152,feature_2907,0.023680050482277393
153,feature_1265,0.023529361746429833
154,feature_3308,0.023518088971127726
155,feature_3979,0.023506913918322603
156,feature_3823,0.023495460448171857
157,feature_375,0.02348849919215601
158,feature_2269,0.02343188177925115
159,feature_2327,0.023417065948970084
160,feature_384,0.02341197670695938
161,feature_3217,0.023323972777164137
162,feature_127,0.02330195751612507
163,feature_2544,0.023229662354013136
164,feature_3652,0.023166622767657907
165,feature_511,0.02311293045634044
166,feature_740,0.023042043226752407
167,feature_3686,0.02299302979674067
